lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,profit_yr1,profit_yr1_lo,profit_yr1_hi,npv,npv_lo,npv_hi,total_benefit,total_cost,bcr,bcr_lo,bcr_hi,roi
0.5,0.1126,0.0904,0.1348,Beans,451.3355704697986,111.38584474885845,-4.872537139529896,-14.892186803959431,5.147112524899626,58.128808199567935,35.6879341432381,80.56968225589773,113.82173057399716,55.69292237442922,2.043737798651721,1.6407983747612391,2.446677222542202,104.37377986517211
1,0.2148,0.1734,0.2562,Beans,451.3355704697986,111.38584474885845,-14.438964211945716,-33.124256829395364,4.246328405503945,105.7447744988732,63.895576934366304,147.59397206338014,217.13061924773166,111.38584474885845,1.9493555912539502,1.573641804112826,2.3250693783950744,94.93555912539502
1.5,0.3065,0.2489,0.364,Beans,451.3355704697986,111.38584474885845,-28.7444147742944,-54.74134363335479,-2.7926194722809896,142.74681387964415,84.5218433551128,200.87069938590375,309.8255810029318,167.07876712328766,1.8543683697061941,1.5058802193144267,2.202251505947976,85.43683697061941
2,0.3877,0.3169,0.4585,Beans,451.3355704697986,111.38584474885845,-47.78888882657597,-79.7434472158377,-15.834330437314236,169.13492634188074,97.5667334054776,240.70311927828388,391.90661583959763,222.7716894977169,1.7592298946209417,1.4379673809785312,2.0804924082633525,75.92298946209418
2.5,0.4584,0.3773,0.5395,Beans,451.3355704697986,111.38584474885845,-71.57238636879046,-108.1757011338911,-34.9690716036898,184.9091118855829,102.92916206718894,266.8890617039769,463.373723757729,278.4646118721461,1.6640309181206905,1.3696310327376453,1.9584308035037357,66.40309181206904
3,0.5187,0.4302,0.6072,Beans,451.3355704697986,111.38584474885845,-100.04977384389076,-139.99297183046795,-60.10657585731366,190.17045552902255,100.7102143585186,279.6306966995264,524.3279897755979,334.1575342465753,1.5691041979879332,1.3013854366192577,1.8368229593566086,56.91041979879331
3.5,0.5685,0.4754,0.6616,Beans,451.3355704697986,111.38584474885845,-133.2661848089241,-175.28552641966235,-91.24684319818584,184.8178722539277,90.7077202429229,278.92802426493245,574.6683288749323,389.8504566210046,1.4740737611437493,1.2326731152994517,1.7154744069880465,47.40737611437493
4,0.6079,0.5128,0.7029,Beans,451.3355704697986,111.38584474885845,-171.1764857068432,-214.09849845852105,-128.2996065122124,168.9524470785704,72.82059470213045,264.98321443673836,614.4958260740042,445.5433789954338,1.3792053816611691,1.163442210422516,1.5947416725935772,37.92053816611691
4.5,0.6367,0.5422,0.7313,Beans,451.3355704697986,111.38584474885845,-213.8709436517422,-256.52215506113816,-171.17459868529932,142.37200996640684,46.84666769959745,237.99843725148776,643.6083113362698,501.236301369863,1.2840416976530005,1.0934622404075023,1.4748228262818266,28.404169765300047
5,0.6552,0.5632,0.7471,Beans,451.3355704697986,111.38584474885845,-261.2141579724802,-302.73703045570164,-219.73641904630577,105.37981597225236,12.381599162236968,198.27694776399596,662.3090397165446,556.9292237442922,1.189215813211907,1.0222319078158517,1.3560182143629664,18.921581321190697
