lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,price_ratio_obs,r_p_break,r_p_break_hi,r_p_break_lo
0.5,0.1126,0.0904,0.1348,Beans,4.052001145095452,4.440497335701599,5.530973451327434,3.7091988130563798
1,0.2148,0.1734,0.2562,Beans,4.052001145095452,4.655493482309125,5.767012687427912,3.9032006245121003
1.5,0.3065,0.2489,0.364,Beans,4.052001145095452,4.893964110929853,6.026516673362796,4.120879120879121
2,0.3877,0.3169,0.4585,Beans,4.052001145095452,5.158627805003869,6.311139160618492,4.362050163576881
2.5,0.4584,0.3773,0.5395,Beans,4.052001145095452,5.453752181500873,6.626027034190299,4.633920296570899
3,0.5187,0.4302,0.6072,Beans,4.052001145095452,5.783689994216309,6.97350069735007,4.940711462450593
3.5,0.5685,0.4754,0.6616,Beans,4.052001145095452,6.156552330694811,7.36222128733698,5.290205562273277
4,0.6079,0.5128,0.7029,Beans,4.052001145095452,6.580029610133246,7.800312012480498,5.690709916062029
4.5,0.6367,0.5422,0.7313,Beans,4.052001145095452,7.067692790953353,8.299520472150498,6.1534254068097916
5,0.6552,0.5632,0.7471,Beans,4.052001145095452,7.631257631257631,8.877840909090908,6.692544505420961
5.5,0.6631,0.5754,0.7508,Beans,4.052001145095452,8.29437490574574,9.558567952728536,7.325519445924347
6,0.6606,0.5779,0.7433,Beans,4.052001145095452,9.082652134423252,10,8.072110856989102
6.5,0.6476,0.5692,0.726,Beans,4.052001145095452,10.03705991352687,10,8.953168044077135
7,0.6242,0.5473,0.701,Beans,4.052001145095452,11.214354373598207,10,9.985734664764623
0.5,0.1924,0.1354,0.2494,Fababean,5.3395474204193745,2.598752598752599,3.6927621861152145,2.0048115477145148
1,0.3634,0.2572,0.4696,Fababean,5.3395474204193745,2.7517886626307098,3.888024883359254,2.1294718909710393
1.5,0.5129,0.3652,0.6606,Fababean,5.3395474204193745,2.9245466952622343,4.107338444687842,2.270663033605813
2,0.6411,0.4595,0.8227,Fababean,5.3395474204193745,3.1196381219778506,4.352557127312296,2.4310198128114746
2.5,0.7479,0.54,0.9558,Fababean,5.3395474204193745,3.3426928733787937,4.62962962962963,2.6156099602427285
3,0.8332,0.6063,1.0601,Fababean,5.3395474204193745,3.6005760921747476,4.948045522018803,2.829921705499481
3.5,0.8972,0.6585,1.136,Fababean,5.3395474204193745,3.901025412394115,5.315110098709188,3.080985915492958
4,0.9398,0.696,1.1836,Fababean,5.3395474204193745,4.256224728665674,5.74712643678161,3.3795201081446433
4.5,0.9609,0.7183,1.2035,Fababean,5.3395474204193745,4.683109584764283,6.264791869692329,3.739094308267553
5,0.9606,0.7248,1.1965,Fababean,5.3395474204193745,5.205080158234437,6.898454746136865,4.178854993731718
5.5,0.939,0.714,1.164,Fababean,5.3395474204193745,5.857294994675187,7.703081232492997,4.725085910652921
6,0.8959,0.6837,1.1081,Fababean,5.3395474204193745,6.697176024109833,8.775778850372971,5.4146737659056035
6.5,0.8315,0.6303,1.0326,Fababean,5.3395474204193745,7.817197835237522,10,6.2947898508619025
7,0.7456,0.5485,0.9426,Fababean,5.3395474204193745,9.388412017167381,10,7.426267769997878
0.5,0.3722,0.3325,0.4119,Maize,2.1857317239637872,1.3433637829124128,1.5037593984962405,1.2138868657441126
1,0.706,0.6321,0.78,Maize,2.1857317239637872,1.41643059490085,1.5820281601012498,1.282051282051282
1.5,1.0015,0.8987,1.1043,Maize,2.1857317239637872,1.4977533699450822,1.6690775564704572,1.3583265417006247
2,1.2586,1.1322,1.385,Maize,2.1857317239637872,1.589067217543302,1.7664723547076486,1.444043321299639
2.5,1.4774,1.3326,1.6221,Maize,2.1857317239637872,1.692161906051171,1.8760318174996249,1.541212009123975
3,1.6577,1.4998,1.8157,Maize,2.1857317239637872,1.8097363817337275,2.0002667022269636,1.6522553285234345
3.5,1.7998,1.6336,1.966,Maize,2.1857317239637872,1.944660517835315,2.142507345739471,1.780264496439471
4,1.9034,1.7337,2.0731,Maize,2.1857317239637872,2.1015025743406537,2.3072042452558112,1.9294775939414401
4.5,1.9687,1.7998,2.1376,Maize,2.1857317239637872,2.2857723370752274,2.500277808645405,2.1051646706586826
5,1.9956,1.8314,2.1598,Maize,2.1857317239637872,2.5055121266786933,2.7301517964398823,2.315029169367534
5.5,1.9842,1.8275,2.1408,Maize,2.1857317239637872,2.7718979941538153,3.009575923392613,2.569133034379671
