lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,lime_price_max,lime_price_max_lo,lime_price_max_hi,pct_above_current
0.5,0.1126,0.0904,0.1348,Beans,451.3355704697986,111.38584474885845,227.64346114799432,182.76171303533465,272.5252092606539,104.37377986517211
1,0.2148,0.1734,0.2562,Beans,451.3355704697986,111.38584474885845,217.13061924773166,175.28142168322475,258.9798168122386,94.93555912539502
1.5,0.3065,0.2489,0.364,Beans,451.3355704697986,111.38584474885845,206.55038733528787,167.73374031893363,245.29964433946097,85.4368369706194
2,0.3877,0.3169,0.4585,Beans,451.3355704697986,111.38584474885845,195.95330791979882,160.16921145159725,231.73740438800039,75.92298946209418
2.5,0.4584,0.3773,0.5395,Beans,451.3355704697986,111.38584474885845,185.3494895030916,152.55750957573403,218.1414694304492,66.40309181206904
3,0.5187,0.4302,0.6072,Beans,451.3355704697986,111.38584474885845,174.77599659186595,144.955916201698,204.5960769820339,56.91041979879329
3.5,0.5685,0.4754,0.6616,Beans,451.3355704697986,111.38584474885845,164.1909511071235,137.30233624683643,191.0795659674106,47.407376114374934
4,0.6079,0.5128,0.7029,Beans,451.3355704697986,111.38584474885845,153.62395651850105,129.59099342439106,177.63164835804304,37.92053816611691
4.5,0.6367,0.5422,0.7313,Beans,451.3355704697986,111.38584474885845,143.02406918583773,121.79621534876898,164.27438636030016,28.404169765300033
5,0.6552,0.5632,0.7471,Beans,451.3355704697986,111.38584474885845,132.4618079433089,113.86216458130585,151.04123430165765,18.921581321190693
5.5,0.6631,0.5754,0.7508,Beans,451.3355704697986,111.38584474885845,121.87177384727515,105.75330820648789,137.99023948806243,9.414058960597119
6,0.6606,0.5779,0.7433,Beans,451.3355704697986,111.38584474885845,111.29460511720326,97.36172009874622,125.22749013566026,-0.08191312986035416
6.5,0.6476,0.5692,0.726,Beans,451.3355704697986,111.38584474885845,100.71178128121402,88.51937292351302,112.90418963891504,-9.582962262135938
7,0.6242,0.5473,0.701,Beans,451.3355704697986,111.38584474885845,90.13895486461433,79.03404357161715,101.22942544071553,-19.075035909768832
0.5,0.1924,0.1354,0.2494,Fababean,594.75,111.38584474885845,512.5742037258383,360.72009971142677,664.42830774025,360.1789436364547
1,0.3634,0.2572,0.4696,Fababean,594.75,111.38584474885845,484.0682578845365,342.6041715132162,625.5323442558567,334.5868714071924
1.5,0.5129,0.3652,0.6606,Fababean,594.75,111.38584474885845,455.4735084736356,324.31063617580764,586.6363807714636,308.9150730962191
2,0.6411,0.4595,0.8227,Fababean,594.75,111.38584474885845,426.9897635247336,306.03930173079874,547.9402253186684,283.34293238738456
2.5,0.7479,0.54,0.9558,Fababean,594.75,111.38584474885845,398.4971382188716,287.72356550099033,509.27071093675283,257.7628190703789
3,0.8332,0.6063,1.0601,Fababean,594.75,111.38584474885845,369.9556709497302,269.20802123958396,470.7033206598764,232.1388564084322
3.5,0.8972,0.6585,1.136,Fababean,594.75,111.38584474885845,341.46241133265676,250.61635963280705,432.3465217051918,206.5581736194143
4,0.9398,0.696,1.1836,Fababean,594.75,111.38584474885845,312.9659801595263,231.77731665357553,394.154643665477,180.97464347033537
4.5,0.9609,0.7183,1.2035,Fababean,594.75,111.38584474885845,284.4378334258247,212.62534681004254,356.25032004160687,155.3626397206453
5,0.9606,0.7248,1.1965,Fababean,594.75,111.38584474885845,255.9141268706031,193.0944817362202,318.76041307586564,129.75462227504082
5.5,0.939,0.714,1.164,Fababean,594.75,111.38584474885845,227.41786869143928,172.92476916473663,281.91096821814205,104.17124743651055
6,0.8959,0.6837,1.1081,Fababean,594.75,111.38584474885845,198.8977950095195,151.78750133721226,246.00808868182673,78.56649151243066
6.5,0.8315,0.6303,1.0326,Fababean,594.75,111.38584474885845,170.4003879729868,129.16820750375655,211.61207531077105,52.982085252563635
7,0.7456,0.5485,0.9426,Fababean,594.75,111.38584474885845,141.88273177085873,104.37590983947962,179.37052436589516,27.37949969384492
0.5,0.3722,0.3325,0.4119,Maize,243.45957446808512,111.38584474885845,405.9013116138445,362.606625770025,449.19599745766396,264.41013894452186
1,0.706,0.6321,0.78,Maize,243.45957446808512,111.38584474885845,384.96282374983105,344.66714007403425,425.3130347377737,245.61198024561048
1.5,1.0015,0.8987,1.1043,Maize,243.45957446808512,111.38584474885845,364.0606874272482,326.69130283661303,401.4300720178833,226.84645723888474
2,1.2586,1.1322,1.385,Maize,243.45957446808512,111.38584474885845,343.1403753339499,308.6791140577611,377.60163661013877,208.06461638606606
2.5,1.4774,1.3326,1.6221,Maize,243.45957446808512,111.38584474885845,322.23460385722404,290.65238466233706,353.7950121272527,189.29582981012183
3,1.6577,1.4998,1.8157,Maize,243.45957446808512,111.38584474885845,301.29975114735356,272.6002091879115,330.017468877511,170.5009346804289
3.5,1.7998,1.6336,1.966,Maize,243.45957446808512,111.38584474885845,280.39501828609707,254.50233463283044,306.28770193936373,151.73308055283275
4,1.9034,1.7337,2.0731,Maize,243.45957446808512,111.38584474885845,259.46821484611485,236.33500266823017,282.6014270239996,132.94541189783814
4.5,1.9687,1.7998,2.1376,Maize,243.45957446808512,111.38584474885845,238.55093204793587,218.08501422251996,259.0168498733518,114.16629068603504
5,1.9956,1.8314,2.1598,Maize,243.45957446808512,111.38584474885845,217.62940823659005,199.72263892788683,235.53617754529324,95.3833619768103
5.5,1.9842,1.8275,2.1408,Maize,243.45957446808512,111.38584474885845,196.71471410878567,181.17938717559005,212.24012698522748,76.60656482187494
6,1.9344,1.7866,2.0821,Maize,243.45957446808512,111.38584474885845,175.79605435827978,162.36415979968083,189.21886103152107,57.82620740961023
6.5,1.8462,1.7062,1.9862,Maize,243.45957446808512,111.38584474885845,154.87434412877272,143.12999997427798,166.61868828326746,39.043111337861426
7,1.7197,1.5825,1.8568,Maize,243.45957446808512,111.38584474885845,133.95802671035705,123.27067352976681,144.6375902749264,20.264856824843477
0.5,0.1271,0.1066,0.1476,Soybean,570.9599999999999,111.38584474885845,325.0636904460077,272.63406295471617,377.49331793729925,191.83572758183814
1,0.2412,0.203,0.2794,Soybean,570.9599999999999,111.38584474885845,308.4396622170616,259.5905946520046,357.28872978211854,176.91100508552066
1.5,0.3423,0.2892,0.3954,Soybean,570.9599999999999,111.38584474885845,291.8156339881155,246.547126349293,337.08414162693794,161.98628258920326
2,0.4303,0.3651,0.4956,Soybean,570.9599999999999,111.38584474885845,275.12766718905806,233.43971947647012,316.8795534717573,147.0041573140538
2.5,0.5053,0.4306,0.58,Soybean,570.9599999999999,111.38584474885845,258.46527581804514,220.2555863195136,296.6749653165766,132.04499315043714
3,0.5673,0.4858,0.6489,Soybean,570.9599999999999,111.38584474885845,241.81567216105452,207.07571573389794,276.5982543016187,117.09730954258691
3.5,0.6163,0.5305,0.7021,Soybean,570.9599999999999,111.38584474885845,225.1733757692194,193.82520825177818,256.5215432866607,102.15618625231743
