term,estimate,se,t_val,crop,ci_lo,ci_hi,sig
(Intercept),4.289423741603184,2.051152550385315,2.091226096663265,Maize,0.2691647428479671,8.3096827403584,*
lime_tha,0.7827688714375327,0.04325455175908711,18.096797668769856,Maize,0.697989949989722,0.8675477928853434,***
I(lime_tha^2),-0.07672915470024613,0.005703350031054085,-13.453348344826235,Maize,-0.08790772076111214,-0.06555058863938013,***
p_h_BP,-0.4872729667211244,0.2575361229631414,-1.8920567767919028,Maize,-0.9920437677288815,0.017497834286632652,
clay_BP,0.012449019273414103,0.012459080373145415,0.9991924685105172,Maize,-0.011970778257950909,0.03686881680477912,
cec_BP,0.04097183074777671,0.03319498368766289,1.2342777792357864,Maize,-0.024090337280042555,0.10603399877559597,
psi_BP,-0.0037254146448147682,0.0023653708209981318,-1.5749812298955854,Maize,-0.008361541453971107,9.1071216434157e-4,
silt_BP,0.011451392769503957,0.027435734861309756,0.41738968638499513,Maize,-0.04232264755866316,0.06522543309767108,
rainfall_mm,8.674986621260823e-4,7.108411537960742e-4,1.2203832846387928,Maize,-5.257499993142231e-4,0.0022607473235663877,
ex_ac_BP,-0.34270243861525446,0.3251820667602841,-1.053878653363397,Maize,-0.9800592894654112,0.29465441223490235,
(Intercept),0.9437189217660672,0.8385508240236361,1.1254164860727234,Beans,-0.6998406933202596,2.587278536852394,
lime_tha,0.23570122443285843,0.024229087532110775,9.728027277976686,Beans,0.18821221286992132,0.28319023599579557,***
I(lime_tha^2),-0.020933662796877917,0.0031946378649736597,-6.552749851993167,Beans,-0.02719515301222629,-0.014672172581529544,***
p_h_BP,-0.05908626548818424,0.12152403765961489,-0.48621051954908756,Beans,-0.29727337930102943,0.17910084832466094,
clay_BP,0.004907829208764703,0.004484782644237547,1.0943293350170995,Beans,-0.0038823447739408873,0.013698003191470295,
ex_ac_BP,-0.07209771826440707,0.1420364645782819,-0.5076000622690181,Beans,-0.3504891888378396,0.2062937523090254,
(Intercept),5.447410890116524,3.475900555456113,1.5671941136422145,Soybean,-1.3653541985774567,12.260175978810505,
lime_tha,0.26725946319486515,0.022329409925324332,11.968944279703496,Soybean,0.22349381974122945,0.31102510664850086,***
I(lime_tha^2),-0.02605173049969585,0.0029442552427852414,-8.848326096568695,Soybean,-0.031822470775554924,-0.020280990223836774,***
p_h_BP,-0.2613748177350339,0.5100570296355653,-0.5124423398728288,Soybean,-1.2610865958207418,0.7383369603506741,
cec_BP,-0.07474374743895877,0.029046869717242664,-2.5732117838016033,Soybean,-0.1316756120847544,-0.017811882793163154,*
psi_BP,8.874566505618274e-4,0.003342706202716696,0.2654904729110116,Soybean,-0.005664247506762896,0.007439160807886551,
tn_BP,-2.1704141589035104,2.82096185548497,-0.7693879854076865,Soybean,-7.699499395654051,3.358671077847031,
rainfall_mm,-6.324937301645335e-4,6.047572872544014e-4,-1.0458637597176472,Soybean,-0.0018178180131831602,5.528305528540933e-4,
ex_ac_BP,-0.19534170597814104,0.6347620373131556,-0.307740057683649,Soybean,-1.439475299111926,1.0487918871556439,
(Intercept),3.8561284002147906,1.0186044521562045,3.785697570879503,Wheat,1.8596636739886299,5.852593126440952,***
lime_tha,0.17597316109298144,0.04193359589815062,4.196472001122668,Wheat,0.09378331313260622,0.25816300905335665,***
I(lime_tha^2),-0.0180597892418075,0.005529174751364342,-3.266272102785536,Wheat,-0.02889697175448161,-0.00722260672913339,**
ex_ac_BP,-1.619085918052801,0.37648380593664776,-4.300545979726018,Wheat,-2.3569941776886307,-0.8811776584169714,***
tn_BP,3.555536147887397,1.6351505815989231,2.17443958244545,Wheat,0.3506410079535076,6.760431287821286,*
p_h_BP,-0.23929934021826874,0.17016269837084613,-1.4062972820091795,Wheat,-0.5728182290251271,0.09421954858858969,
(Intercept),0.17405193663619212,2.458410178122441,0.07079857469884078,Fababean,-4.644432012483792,4.992535885756176,
lime_tha,0.40617506363285644,0.062134624722603,6.537016445278381,Fababean,0.28439119917655453,0.5279589280891583,***
I(lime_tha^2),-0.042809147345450105,0.008192791265412724,-5.22522129010857,Fababean,-0.05886701822565904,-0.026751276465241166,***
p_h_BP,0.2287468579337406,0.41053627837509604,0.5571903629056156,Fababean,-0.5759042476814477,1.033397963548929,
ex_ac_BP,-0.6633435505181081,1.0792914187154357,-0.6146102331728112,Fababean,-2.778754731200362,1.4520676301641458,
