crop,term,estimate,std_error,t_value
Beans,(Intercept),0.9437,0.8386,1.1254
Beans,lime_tha,0.2357,0.0242,9.728
Beans,I(lime_tha^2),-0.0209,0.0032,-6.5527
Beans,p_h_BP,-0.0591,0.1215,-0.4862
Beans,clay_BP,0.0049,0.0045,1.0943
Beans,ex_ac_BP,-0.0721,0.142,-0.5076
Fababean,(Intercept),0.1741,2.4584,0.0708
Fababean,lime_tha,0.4062,0.0621,6.537
Fababean,I(lime_tha^2),-0.0428,0.0082,-5.2252
Fababean,p_h_BP,0.2287,0.4105,0.5572
Fababean,ex_ac_BP,-0.6633,1.0793,-0.6146
Maize,(Intercept),4.2894,2.0512,2.0912
Maize,lime_tha,0.7828,0.0433,18.096800000000002
Maize,I(lime_tha^2),-0.0767,0.0057,-13.4533
Maize,p_h_BP,-0.4873,0.2575,-1.8921
Maize,clay_BP,0.0124,0.0125,0.9992
Maize,cec_BP,0.041,0.0332,1.2343
Maize,psi_BP,-0.0037,0.0024,-1.575
Maize,silt_BP,0.0115,0.0274,0.4174
Maize,rainfall_mm,9e-4,7e-4,1.2204
Maize,ex_ac_BP,-0.3427,0.3252,-1.0539
Soybean,(Intercept),5.4474,3.4759,1.5672
Soybean,lime_tha,0.2673,0.0223,11.9689
Soybean,I(lime_tha^2),-0.0261,0.0029,-8.8483
Soybean,p_h_BP,-0.2614,0.5101,-0.5124
Soybean,cec_BP,-0.0747,0.029,-2.5732
Soybean,psi_BP,9e-4,0.0033,0.2655
Soybean,tn_BP,-2.1704,2.821,-0.7694
Soybean,rainfall_mm,-6e-4,6e-4,-1.0459
Soybean,ex_ac_BP,-0.1953,0.6348,-0.3077
Wheat,(Intercept),3.8561,1.0186,3.7857
Wheat,lime_tha,0.176,0.0419,4.1965
Wheat,I(lime_tha^2),-0.0181,0.0055,-3.2663
Wheat,ex_ac_BP,-1.6191,0.3765,-4.3005
Wheat,tn_BP,3.5555,1.6352,2.1744
Wheat,p_h_BP,-0.2393,0.1702,-1.4063
