crop,lime_tha,r_p,prob_profit,r_p_obs
Maize,1,0.5,0.11713586956521739,2.1857317239637872
Maize,1,0.75,0.3018858695652174,2.1857317239637872
Maize,1,1,0.44380434782608696,2.1857317239637872
Maize,1,1.25,0.5578152173913044,2.1857317239637872
Maize,1,1.5,0.6309130434782608,2.1857317239637872
Maize,1,1.75,0.6804673913043479,2.1857317239637872
Maize,1,2,0.7234130434782609,2.1857317239637872
Maize,1,2.25,0.7539565217391304,2.1857317239637872
Maize,1,2.5,0.7817826086956522,2.1857317239637872
Maize,1,2.75,0.8003586956521739,2.1857317239637872
Maize,1,3,0.8164456521739131,2.1857317239637872
Maize,1,3.25,0.8299402173913043,2.1857317239637872
Maize,1,3.5,0.8387663043478261,2.1857317239637872
Maize,1,3.75,0.8460489130434783,2.1857317239637872
Maize,1,4,0.8534076086956521,2.1857317239637872
Maize,1,4.25,0.8588804347826087,2.1857317239637872
Maize,1,4.5,0.8641304347826086,2.1857317239637872
Maize,1,4.75,0.867070652173913,2.1857317239637872
Maize,1,5,0.871875,2.1857317239637872
Maize,1,5.25,0.874875,2.1857317239637872
Maize,1,5.5,0.8781467391304347,2.1857317239637872
Maize,1,5.75,0.879179347826087,2.1857317239637872
Maize,1,6,0.8818423913043478,2.1857317239637872
Maize,1,6.25,0.8836195652173913,2.1857317239637872
Maize,1,6.5,0.8848097826086957,2.1857317239637872
Maize,1,6.75,0.8857880434782609,2.1857317239637872
Maize,1,7,0.8865108695652174,2.1857317239637872
Maize,1,7.25,0.8877445652173913,2.1857317239637872
Maize,1,7.5,0.8883695652173913,2.1857317239637872
Maize,1,7.75,0.8887717391304348,2.1857317239637872
Maize,1,8,0.8897010869565217,2.1857317239637872
Maize,1,8.25,0.8904347826086957,2.1857317239637872
Maize,1,8.5,0.8905815217391304,2.1857317239637872
Maize,1,8.75,0.8912445652173913,2.1857317239637872
Maize,1,9,0.8919184782608696,2.1857317239637872
Maize,1,9.25,0.8921032608695653,2.1857317239637872
Maize,1,9.5,0.8925869565217391,2.1857317239637872
Maize,1,9.75,0.8929891304347826,2.1857317239637872
Maize,1,10,0.893445652173913,2.1857317239637872
Maize,2.5,0.5,0.005375,2.1857317239637872
Maize,2.5,0.75,0.041994565217391304,2.1857317239637872
Maize,2.5,1,0.13342934782608695,2.1857317239637872
Maize,2.5,1.25,0.2627608695652174,2.1857317239637872
Maize,2.5,1.5,0.38317391304347825,2.1857317239637872
Maize,2.5,1.75,0.4935217391304348,2.1857317239637872
Maize,2.5,2,0.5720380434782608,2.1857317239637872
Maize,2.5,2.25,0.6395597826086956,2.1857317239637872
Maize,2.5,2.5,0.69875,2.1857317239637872
Maize,2.5,2.75,0.7368423913043478,2.1857317239637872
Maize,2.5,3,0.7688967391304348,2.1857317239637872
