crop,tau,tau_lab,lime_tha,yield_resp,profit_yr1,npv
Maize,0.2,Q20,0.1,0.04290941703113875,-0.6918760638112023,12.258767289655605
Maize,0.2,Q20,0.2,0.08494586568547428,-1.5962846371630093,24.041528387557
Maize,0.2,Q20,0.30000000000000004,0.12610934596300666,-2.7132257200554086,35.34828329370421
Maize,0.2,Q20,0.4,0.16639985786373576,-4.0426993124884305,46.17903200809718
Maize,0.2,Q20,0.5,0.2058174013876617,-5.584705414462036,56.53377453073599
Maize,0.2,Q20,0.6000000000000001,0.24436197653478445,-7.3392440259762495,66.41251086162058
Maize,0.2,Q20,0.7000000000000001,0.2820335833051039,-9.306315147031086,75.81524100075094
Maize,0.2,Q20,0.8,0.31883222169862024,-11.485918777626509,84.7419649481271
Maize,0.2,Q20,0.9,0.35475789171533334,-13.878054917762526,93.1926827037491
Maize,0.2,Q20,1,0.3898105933552432,-16.482723567439166,101.16739426761684
Maize,0.2,Q20,1.1,0.42399032661834996,-19.2999247266564,108.66609963973042
Maize,0.2,Q20,1.2000000000000002,0.4572970915046535,-22.329658395414228,115.6887988200898
Maize,0.2,Q20,1.3,0.4897308880141537,-25.571924573712693,122.23549180869489
Maize,0.2,Q20,1.4000000000000001,0.5212917161468509,-29.02672326155171,128.30617860554588
Maize,0.2,Q20,1.5,0.5519795759027446,-32.69405445893136,133.90085921064258
Maize,0.2,Q20,1.6,0.5817944672818353,-36.573918165851666,139.01953362398507
Maize,0.2,Q20,1.7000000000000002,0.6107363902841227,-40.66631438231249,143.66220184557343
Maize,0.2,Q20,1.8,0.6388053449096069,-44.971243108313956,147.8288638754075
Maize,0.2,Q20,1.9000000000000001,0.6660013311582881,-49.48870434385603,151.51951971348748
Maize,0.2,Q20,2,0.6923243490301658,-54.21869808893868,154.7341693598132
Maize,0.2,Q20,2.1,0.7177743985252406,-59.16122434356191,157.47281281438478
Maize,0.2,Q20,2.2,0.742351479643512,-64.31628310772584,159.73545007720202
Maize,0.2,Q20,2.3000000000000003,0.7660555923849803,-69.68387438143026,161.52208114826522
Maize,0.2,Q20,2.4000000000000004,0.7888867367496454,-75.26399816467534,162.8327060275741
Maize,0.2,Q20,2.5,0.8108449127375069,-81.05665445746106,163.6673247151287
Maize,0.2,Q20,2.6,0.8319301203485657,-87.06184325978734,164.02593721092927
Maize,0.2,Q20,2.7,0.852142359582821,-93.27956457165422,163.90854351497552
Maize,0.2,Q20,2.8000000000000003,0.8714816304402734,-99.70981839306171,163.31514362726762
