lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop
0,0,0,0,Beans
0.5,0.1126,0.0904,0.1348,Beans
1,0.2148,0.1734,0.2562,Beans
1.5,0.3065,0.2489,0.364,Beans
2,0.3877,0.3169,0.4585,Beans
2.5,0.4584,0.3773,0.5395,Beans
3,0.5187,0.4302,0.6072,Beans
3.5,0.5685,0.4754,0.6616,Beans
4,0.6079,0.5128,0.7029,Beans
4.5,0.6367,0.5422,0.7313,Beans
5,0.6552,0.5632,0.7471,Beans
5.5,0.6631,0.5754,0.7508,Beans
6,0.6606,0.5779,0.7433,Beans
6.5,0.6476,0.5692,0.726,Beans
7,0.6242,0.5473,0.701,Beans
0,0,0,0,Fababean
0.5,0.1924,0.1354,0.2494,Fababean
1,0.3634,0.2572,0.4696,Fababean
1.5,0.5129,0.3652,0.6606,Fababean
2,0.6411,0.4595,0.8227,Fababean
2.5,0.7479,0.54,0.9558,Fababean
3,0.8332,0.6063,1.0601,Fababean
3.5,0.8972,0.6585,1.136,Fababean
4,0.9398,0.696,1.1836,Fababean
4.5,0.9609,0.7183,1.2035,Fababean
5,0.9606,0.7248,1.1965,Fababean
5.5,0.939,0.714,1.164,Fababean
6,0.8959,0.6837,1.1081,Fababean
6.5,0.8315,0.6303,1.0326,Fababean
7,0.7456,0.5485,0.9426,Fababean
0,0,0,0,Maize
0.5,0.3722,0.3325,0.4119,Maize
1,0.706,0.6321,0.78,Maize
1.5,1.0015,0.8987,1.1043,Maize
2,1.2586,1.1322,1.385,Maize
2.5,1.4774,1.3326,1.6221,Maize
3,1.6577,1.4998,1.8157,Maize
3.5,1.7998,1.6336,1.966,Maize
4,1.9034,1.7337,2.0731,Maize
4.5,1.9687,1.7998,2.1376,Maize
5,1.9956,1.8314,2.1598,Maize
5.5,1.9842,1.8275,2.1408,Maize
6,1.9344,1.7866,2.0821,Maize
6.5,1.8462,1.7062,1.9862,Maize
7,1.7197,1.5825,1.8568,Maize
0,0,0,0,Soybean
0.5,0.1271,0.1066,0.1476,Soybean
1,0.2412,0.203,0.2794,Soybean
1.5,0.3423,0.2892,0.3954,Soybean
2,0.4303,0.3651,0.4956,Soybean
2.5,0.5053,0.4306,0.58,Soybean
3,0.5673,0.4858,0.6489,Soybean
3.5,0.6163,0.5305,0.7021,Soybean
4,0.6522,0.5646,0.7398,Soybean
4.5,0.6751,0.588,0.7623,Soybean
5,0.685,0.6002,0.7698,Soybean
5.5,0.6819,0.601,0.7627,Soybean
6,0.6657,0.5894,0.742,Soybean
6.5,0.6365,0.5642,0.7088,Soybean
7,0.5943,0.5235,0.6651,Soybean
0,0,0,0,Wheat
0.5,0.0835,0.045,0.1219,Wheat
1,0.1579,0.0862,0.2296,Wheat
1.5,0.2233,0.1236,0.323,Wheat
2,0.2797,0.1572,0.4022,Wheat
2.5,0.3271,0.1867,0.4674,Wheat
3,0.3654,0.2123,0.5185,Wheat
3.5,0.3947,0.2335,0.5558,Wheat
4,0.4149,0.2504,0.5795,Wheat
4.5,0.4262,0.2625,0.5899,Wheat
5,0.4284,0.2692,0.5875,Wheat
5.5,0.4215,0.2697,0.5734,Wheat
6,0.4057,0.2625,0.5489,Wheat
6.5,0.3808,0.2451,0.5165,Wheat
7,0.3469,0.2139,0.4799,Wheat
