crop,variable,nzv_pass,lasso_selected,lasso_coef,vif_value,final_retained,drop_reason
Beans,p_h_BP,TRUE,TRUE,-0.1158,2.0617,TRUE,NA
Beans,ex_ac_BP,TRUE,FALSE,0,1.8417,TRUE,NA
Beans,soc_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,clay_BP,TRUE,TRUE,0.1163,1.479,TRUE,NA
Beans,cec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,ecec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,psi_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,sand_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,silt_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,tn_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Beans,rainfall_mm,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,p_h_BP,TRUE,FALSE,0,1.1871,TRUE,NA
Fababean,ex_ac_BP,TRUE,FALSE,0,1.1871,TRUE,NA
Fababean,soc_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,clay_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,cec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,ecec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,psi_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,sand_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,silt_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,tn_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Fababean,rainfall_mm,TRUE,FALSE,0,NA,FALSE,LASSO
Maize,p_h_BP,TRUE,TRUE,-0.8152,2.2254,TRUE,NA
Maize,ex_ac_BP,TRUE,FALSE,0,2.0494,TRUE,NA
Maize,soc_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Maize,clay_BP,TRUE,TRUE,0.3361,3.4055,TRUE,NA
Maize,cec_BP,TRUE,TRUE,0.5849,2.406,TRUE,NA
Maize,ecec_BP,TRUE,TRUE,0.0932,NA,FALSE,VIF
Maize,psi_BP,TRUE,TRUE,-0.5922,2.0747,TRUE,NA
Maize,sand_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Maize,silt_BP,TRUE,TRUE,-0.067,1.2039,TRUE,NA
Maize,tn_BP,TRUE,TRUE,0.1679,NA,FALSE,VIF
Maize,rainfall_mm,TRUE,TRUE,0.0437,1.0404,TRUE,NA
Soybean,p_h_BP,TRUE,TRUE,-0.0183,3.2259,TRUE,NA
Soybean,ex_ac_BP,TRUE,FALSE,0,3.3993,TRUE,NA
Soybean,soc_BP,TRUE,TRUE,0.0215,NA,FALSE,VIF
Soybean,clay_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Soybean,cec_BP,TRUE,TRUE,-0.1934,1.6438,TRUE,NA
Soybean,ecec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Soybean,psi_BP,TRUE,TRUE,0.0079,1.6561,TRUE,NA
Soybean,sand_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Soybean,silt_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Soybean,tn_BP,TRUE,TRUE,-0.0641,1.7326,TRUE,NA
Soybean,rainfall_mm,TRUE,TRUE,-0.0608,1.85,TRUE,NA
Wheat,p_h_BP,TRUE,FALSE,0,1.3623,TRUE,NA
Wheat,ex_ac_BP,TRUE,TRUE,-0.191,1.5224,TRUE,NA
Wheat,soc_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,clay_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,cec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,ecec_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,psi_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,sand_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,silt_BP,TRUE,FALSE,0,NA,FALSE,LASSO
Wheat,tn_BP,TRUE,TRUE,0.0535,1.1419,TRUE,NA
Wheat,rainfall_mm,TRUE,FALSE,0,NA,FALSE,LASSO
