crop,component,variance,sd,pct_var
Maize,fid:admin2_gadm,1.2993236829534223,1.1398788018703665,35.5
Maize,admin2_gadm,1.3606997765249071,1.1664903670947768,37.2
Maize,Residual,0.499031404489321,0.7064215487152986,13.6
Maize,Residual,0.499031404489321,0.7064215487152986,13.6
Beans,fid:admin2_gadm,0.3453781280655884,0.5876888020590391,43.5
Beans,admin2_gadm,0.19652774622736202,0.44331450035766035,24.8
Beans,Residual,0.1257793194806196,0.3546538022926296,15.9
Beans,Residual,0.1257793194806196,0.3546538022926296,15.9
Soybean,fid,0.1445203047522055,0.38015826276986997,70.8
Soybean,Residual,0.029795556791610785,0.17261389512901557,14.6
Soybean,Residual,0.029795556791610785,0.17261389512901557,14.6
Wheat,fid,0.11747718620569372,0.34274945106548854,38.9
Wheat,Residual,0.09226561221513527,0.3037525509607043,30.6
Wheat,Residual,0.09226561221513527,0.3037525509607043,30.6
Fababean,fid,0.64366344111859,0.8022863834807307,71.3
Fababean,Residual,0.12942207274096057,0.35975279393072207,14.3
Fababean,Residual,0.12942207274096057,0.35975279393072207,14.3
