country,admin2_gadm,crop,treatment,n_fields,pct_profitable,mean_profit
Ethiopia,Jimma,Maize,1 t/ha,42,100,589.774705941043
Rwanda,Burera,Maize,2.5 t/ha,20,95,300.66689349112426
Rwanda,Nyaruguru,Maize,2.5 t/ha,37,94.5945945945946,331.368424532869
Ethiopia,Jimma,Maize,2.5 t/ha,42,92.85714285714286,570.0004931156462
Ethiopia,Jimma,Soybean,1 t/ha,41,90.2439024390244,168.2861855516841
Rwanda,Burera,Maize,1 t/ha,20,90,228.47704142011818
Tanzania,Mbozi,Maize,1 t/ha,29,86.20689655172413,217.26923030058202
Rwanda,Ngororero,Maize,1 t/ha,28,82.14285714285714,188.75827621774295
Rwanda,Ngororero,Maize,2.5 t/ha,28,82.14285714285714,179.54502139055109
Tanzania,Geita,Beans,2.5 t/ha,30,73.33333333333333,104.18333333333311
Rwanda,Nyaruguru,Maize,1 t/ha,37,72.97297297297297,196.80388506813676
Tanzania,Mbozi,Maize,2.5 t/ha,29,72.41379310344827,179.0938079259173
Tanzania,Geita,Maize,1 t/ha,28,71.42857142857143,141.22342560933873
Ethiopia,MisraqGojjam,Fababean,1 t/ha,23,69.56521739130434,275.7587330445284
Ethiopia,Jimma,Soybean,2.5 t/ha,41,65.85365853658537,74.37697821138214
Tanzania,Geita,Maize,2.5 t/ha,28,60.71428571428571,69.52025640309081
Rwanda,Nyaruguru,Beans,2.5 t/ha,39,58.97435897435898,129.8375024845955
Ethiopia,MisraqGojjam,Wheat,1 t/ha,37,56.75675675675676,26.840368104750706
Ethiopia,MisraqGojjam,Fababean,2.5 t/ha,23,56.52173913043478,266.5898615686982
Tanzania,Mbozi,Beans,1 t/ha,27,55.55555555555556,43.33333333333358
Tanzania,Geita,Beans,1 t/ha,31,54.83870967741935,57.61290322580663
Rwanda,Nyaruguru,Maize,7.5 t/ha,37,54.054054054054056,164.37046076703422
Rwanda,Nyaruguru,Beans,1 t/ha,39,53.84615384615385,67.73776585171936
Rwanda,Burera,Maize,7.5 t/ha,20,50,-8.736952662722121
Rwanda,Burera,Beans,1 t/ha,20,45,64.3119911579457
Tanzania,Mbozi,Maize,7.5 t/ha,29,37.93103448275862,-130.17174747700966
Rwanda,Ngororero,Beans,1 t/ha,32,37.5,-14.026365398167739
Tanzania,Mbozi,Beans,2.5 t/ha,27,37.03703703703704,12.524691358024443
Ethiopia,MisraqGojjam,Fababean,7.5 t/ha,23,34.78260869565217,-275.11597637561135
Ethiopia,MisraqGojjam,Wheat,2.5 t/ha,37,32.432432432432435,-110.28186415981195
Tanzania,Geita,Maize,7.5 t/ha,28,28.57142857142857,-209.2775638027736
Rwanda,Ngororero,Beans,2.5 t/ha,32,28.125,-105.81410722492882
Ethiopia,Jimma,Maize,7.5 t/ha,42,26.190476190476193,-166.24110702947857
Rwanda,Nyaruguru,Beans,7.5 t/ha,39,25.64102564102564,-189.30035281256212
Rwanda,Ngororero,Maize,7.5 t/ha,28,25,-184.54593998804543
Rwanda,Burera,Beans,2.5 t/ha,20,15,-54.875516715116376
Tanzania,Mbozi,Beans,7.5 t/ha,27,14.814814814814813,-295.08641975308666
Rwanda,Burera,Beans,7.5 t/ha,20,10,-428.63646705426436
Tanzania,Geita,Beans,7.5 t/ha,30,10,-186.82777777777807
Ethiopia,Jimma,Soybean,7.5 t/ha,41,4.878048780487805,-399.02727247386764
Rwanda,Ngororero,Beans,7.5 t/ha,32,3.125,-559.606218111346
Ethiopia,MisraqGojjam,Wheat,7.5 t/ha,37,2.7027027027027026,-657.0769598791338
