country,admin2_gadm,crop,treatment,n_fields,pct_profitable,mean_profit
Ethiopia,Jimma,Maize,1 t/ha,42,100,639.774705941043
Ethiopia,Jimma,Maize,2.5 t/ha,42,97.61904761904762,695.0004931156462
Rwanda,Burera,Maize,2.5 t/ha,20,95,368.16689349112426
Rwanda,Nyaruguru,Maize,2.5 t/ha,37,94.5945945945946,398.868424532869
Ethiopia,Jimma,Soybean,1 t/ha,41,92.6829268292683,218.28618555168413
Ethiopia,Jimma,Soybean,2.5 t/ha,41,90.2439024390244,199.37697821138212
Rwanda,Burera,Maize,1 t/ha,20,90,255.47704142011818
Rwanda,Ngororero,Maize,1 t/ha,28,89.28571428571429,215.75827621774292
Rwanda,Ngororero,Maize,2.5 t/ha,28,89.28571428571429,247.04502139055106
Tanzania,Mbozi,Maize,1 t/ha,29,86.20689655172413,222.26923030058202
Rwanda,Nyaruguru,Maize,7.5 t/ha,37,78.37837837837837,353.3704607670342
Ethiopia,MisraqGojjam,Fababean,1 t/ha,23,78.26086956521739,325.7587330445284
Rwanda,Nyaruguru,Maize,1 t/ha,37,75.67567567567568,223.80388506813676
Tanzania,Geita,Beans,2.5 t/ha,30,73.33333333333333,116.68333333333311
Tanzania,Mbozi,Maize,2.5 t/ha,29,72.41379310344827,191.5938079259173
Tanzania,Geita,Maize,1 t/ha,28,71.42857142857143,146.22342560933873
Ethiopia,MisraqGojjam,Wheat,1 t/ha,37,70.27027027027027,76.84036810475071
Ethiopia,MisraqGojjam,Fababean,2.5 t/ha,23,69.56521739130434,391.5898615686982
Rwanda,Nyaruguru,Beans,2.5 t/ha,39,66.66666666666666,197.3375024845955
Rwanda,Burera,Maize,7.5 t/ha,20,65,180.2630473372779
Rwanda,Nyaruguru,Beans,1 t/ha,39,64.1025641025641,94.73776585171937
Ethiopia,Jimma,Maize,7.5 t/ha,42,61.904761904761905,183.75889297052146
Ethiopia,MisraqGojjam,Fababean,7.5 t/ha,23,60.86956521739131,74.88402362438863
Tanzania,Geita,Maize,2.5 t/ha,28,60.71428571428571,82.02025640309083
Ethiopia,MisraqGojjam,Wheat,2.5 t/ha,37,59.45945945945946,14.718135840188046
Rwanda,Ngororero,Beans,1 t/ha,32,59.375,12.973634601832272
Tanzania,Mbozi,Beans,1 t/ha,27,55.55555555555556,48.33333333333357
Tanzania,Geita,Beans,1 t/ha,31,54.83870967741935,62.612903225806626
Rwanda,Nyaruguru,Beans,7.5 t/ha,39,51.28205128205128,-0.30035281256213026
Rwanda,Burera,Beans,1 t/ha,20,50,91.3119911579457
Rwanda,Burera,Beans,2.5 t/ha,20,45,12.624483284883627
Rwanda,Ngororero,Maize,7.5 t/ha,28,42.857142857142854,4.454060011954534
Ethiopia,Jimma,Soybean,7.5 t/ha,41,39.02439024390244,-49.02727247386763
Tanzania,Mbozi,Maize,7.5 t/ha,29,37.93103448275862,-95.17174747700963
Tanzania,Mbozi,Beans,2.5 t/ha,27,37.03703703703704,25.024691358024437
Tanzania,Geita,Maize,7.5 t/ha,28,32.142857142857146,-174.2775638027736
Rwanda,Ngororero,Beans,2.5 t/ha,32,31.25,-38.31410722492882
Ethiopia,MisraqGojjam,Wheat,7.5 t/ha,37,21.62162162162162,-307.0769598791338
Rwanda,Burera,Beans,7.5 t/ha,20,15,-239.63646705426433
Tanzania,Mbozi,Beans,7.5 t/ha,27,14.814814814814813,-260.08641975308666
Tanzania,Geita,Beans,7.5 t/ha,30,10,-151.82777777777807
Rwanda,Ngororero,Beans,7.5 t/ha,32,3.125,-370.6062181113461
