country,admin2_gadm,crop,model,RMSE,R2
Ethiopia,Jimma,Maize,ols,1.3785898917558028,0.17196328313907638
Ethiopia,Jimma,Maize,lmm,1.3785898917558028,0.1719632831390765
Ethiopia,Jimma,Maize,rf,0.43971967648039567,0.9157575061887614
Ethiopia,Jimma,Maize,xgb,0.02972633602157411,0.9996149987136982
Ethiopia,Jimma,Soybean,ols,0.43881330100782145,0.22001223725751273
Ethiopia,Jimma,Soybean,lmm,0.43881330100782145,0.22001223725751196
Ethiopia,Jimma,Soybean,rf,0.1448376261041138,0.9150250301829769
Ethiopia,Jimma,Soybean,xgb,0.007814451619005772,0.9997526424126882
Ethiopia,MisraqGojjam,Fababean,ols,0.8459293601951267,0.11863748190730994
Ethiopia,MisraqGojjam,Fababean,lmm,0.8459293601951267,0.11863748190731072
Ethiopia,MisraqGojjam,Fababean,rf,0.2662212031512795,0.912708558807468
Ethiopia,MisraqGojjam,Fababean,xgb,0.003635720869836593,0.9999837195109542
Ethiopia,MisraqGojjam,Wheat,ols,0.5195170113664144,0.06837607728048323
Ethiopia,MisraqGojjam,Wheat,lmm,0.5195170113664144,0.06837607728048345
Ethiopia,MisraqGojjam,Wheat,rf,0.21730477971528597,0.837002987658968
Ethiopia,MisraqGojjam,Wheat,xgb,0.011407254254957326,0.9995508376665283
Rwanda,Burera,Beans,ols,1.1310326414440908,0.03344072315268465
Rwanda,Burera,Beans,lmm,1.1310326414440908,0.033440723152684426
Rwanda,Burera,Beans,rf,0.354964809793092,0.9047973983319417
Rwanda,Burera,Beans,xgb,0.004896514035303685,0.9999818844208324
Rwanda,Burera,Maize,ols,1.1593849503664242,0.3264396081272537
Rwanda,Burera,Maize,lmm,1.1593849503664242,0.3264396081272535
Rwanda,Burera,Maize,rf,0.5213467228621423,0.8638008116211651
Rwanda,Burera,Maize,xgb,0.009598707314550375,0.9999538313982016
Rwanda,Ngororero,Beans,ols,0.5241278216457957,0.06803060364933045
Rwanda,Ngororero,Beans,lmm,0.5241278216457957,0.06803060364933022
Rwanda,Ngororero,Beans,rf,0.267388046309405,0.7574444587792865
Rwanda,Ngororero,Beans,xgb,0.008078308236878622,0.9997786048693584
Rwanda,Ngororero,Maize,ols,1.1887887490088176,0.22177566407927884
Rwanda,Ngororero,Maize,lmm,1.1887887490088178,0.2217756640792794
Rwanda,Ngororero,Maize,rf,0.4591659984464951,0.8838992896934914
Rwanda,Ngororero,Maize,xgb,0.008148625258856899,0.9999634351221589
Rwanda,Nyaruguru,Beans,ols,0.7046580459116379,0.2716188189167492
Rwanda,Nyaruguru,Beans,lmm,0.7046580459116379,0.27161881891675
Rwanda,Nyaruguru,Beans,rf,0.2864866206709311,0.8796044110636068
Rwanda,Nyaruguru,Beans,xgb,0.009684908606875826,0.9998624080771891
Rwanda,Nyaruguru,Maize,ols,1.3144265596236147,0.35872589663702337
Rwanda,Nyaruguru,Maize,lmm,1.3144265596236147,0.3587258966370235
Rwanda,Nyaruguru,Maize,rf,0.5891960817611166,0.8711481227241217
Rwanda,Nyaruguru,Maize,xgb,0.026246854139729384,0.999744303039403
Tanzania,Geita,Beans,ols,0.2695826108210917,0.39963973053410795
Tanzania,Geita,Beans,lmm,0.269582709688098,0.3996392901805319
Tanzania,Geita,Beans,rf,0.11900827867005467,0.8830008945839913
Tanzania,Geita,Beans,xgb,0.0013988762735445814,0.9999838345870924
Tanzania,Geita,Maize,ols,1.4656972369397514,0.12635705980202638
Tanzania,Geita,Maize,lmm,1.4656972369397516,0.12635705980202627
Tanzania,Geita,Maize,rf,0.48548654883083553,0.9041482962740015
Tanzania,Geita,Maize,xgb,0.010867512798719108,0.9999519707556189
Tanzania,Mbozi,Beans,ols,0.3793166626773981,0.15802252300814557
Tanzania,Mbozi,Beans,lmm,0.37931666267739805,0.15802252300814512
Tanzania,Mbozi,Beans,rf,0.13357531336499676,0.895588331492947
Tanzania,Mbozi,Beans,xgb,0.0021028396738084426,0.9999741232960727
Tanzania,Mbozi,Maize,ols,1.2042958518931783,0.2048784705016956
Tanzania,Mbozi,Maize,lmm,1.2042958518931783,0.20487847050169528
Tanzania,Mbozi,Maize,rf,0.48000898753728877,0.8736818169551013
Tanzania,Mbozi,Maize,xgb,0.014741801978133877,0.9998808570693926
