site,lime_tha,emmean,SE,df,lower.CL,upper.CL,.group,col,crop,ecec,ExAc,pH,SOC,tex,p_y,p_x,yld_0,yld_dif,rev,cost,profit
Burera,0,1.326907816,0.341567121,11.71924638,0.580714798,2.073100835,1,5,bean,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,,,,,
Burera,1,1.74524115,0.341567121,11.71924638,0.999048131,2.491434168,12,5,bean,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,,,,,
Burera,2.5,1.851907816,0.341567121,11.71924638,1.105714798,2.598100835,2,5,bean,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,,,,,
Burera,7,2.019407816,0.341567121,11.71924638,1.273214798,2.765600835,2,5,bean,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,,,,,
Burera,0,3.427508043,0.308077526,18.77458214,2.782169972,4.072846115,1,6,maize,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,3.427508043,0,0,0,0
Burera,1,4.558277274,0.308077526,18.77458214,3.912939202,5.203615346,2,6,maize,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,3.427508043,1.131,169.615,75.000,94.615
Burera,2.5,5.473661889,0.308077526,18.77458214,4.828323818,6.118999961,3,6,maize,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,3.427508043,2.046,306.923,187.500,119.423
Burera,7,6.019815736,0.308077526,18.77458214,5.374477664,6.665153807,3,6,maize,5.996911348,0.69592642,5.389235321,1.423852431,76.59222078,150,75,3.427508043,2.592,388.846,525.000,-136.154
Geita,0,0.413690476,0.052305554,39.20845065,0.307910488,0.519470464,1,2,bean,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,1,0.5875,0.052305554,39.20845065,0.481720012,0.693279988,2,2,bean,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,2.5,0.828571429,0.052305554,39.20845065,0.72279144,0.934351417,3,2,bean,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,7,0.996428571,0.052305554,39.20845065,0.890648583,1.10220856,4,2,bean,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,0,2.100901876,0.360659748,24.06586482,1.356644535,2.845159218,1,3,maize,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,1,2.985552462,0.359982191,23.90485533,2.242429217,3.728675707,2,3,maize,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,2.5,3.250041842,0.360659748,24.06586482,2.5057845,3.994299183,2,3,maize,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Geita,7,3.787204319,0.359982191,23.90485533,3.044081074,4.530327565,3,3,maize,5.458150596,0.413142783,6.039471012,0.884148066,50.2025538,150,75,,,,,
Jimma,0,5.440047113,0.218222918,49.60373014,5.001646708,5.878447518,1,1,maize,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,1,6.828397775,0.218222918,49.60373014,6.38999737,7.26679818,2,1,maize,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,2.5,7.165188316,0.218222918,49.60373014,6.726787912,7.603588721,3,1,maize,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,7,6.922077961,0.218222918,49.60373014,6.483677556,7.360478366,23,1,maize,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,0,1.322255316,0.068950916,46.64214006,1.183515866,1.460994766,1,1,soybean,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,1,1.688034173,0.068950916,46.64214006,1.549294724,1.826773623,2,1,soybean,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,2.5,1.838185697,0.068950916,46.64214006,1.699446247,1.976925147,3,1,soybean,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Jimma,7,1.973483888,0.068950916,46.64214006,1.834744438,2.112223337,4,1,soybean,13.29608996,0.215564305,5.487143858,1.665101534,87.48143906,150,75,,,,,
Mbozi,0,0.545333333,0.078377057,29.57730555,0.385170047,0.705496619,1,1,bean,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,1,0.722666667,0.078377057,29.57730555,0.562503381,0.882829953,2,1,bean,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,2.5,0.845333333,0.078377057,29.57730555,0.685170047,1.005496619,3,1,bean,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,7,0.997333333,0.078377057,29.57730555,0.837170047,1.157496619,4,1,bean,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,0,1.8662142,0.23638201,40.70240796,1.388725023,2.343703376,1,2,maize,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,1,2.876536393,0.23638201,40.70240796,2.399047217,3.354025569,2,2,maize,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,2.5,3.253238405,0.23638201,40.70240796,2.775749229,3.730727581,23,2,maize,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Mbozi,7,3.575180133,0.23638201,40.70240796,3.097690957,4.052669309,3,2,maize,7.833654822,0.459874058,5.894272117,1.197313801,76.42969655,150,75,,,,,
Misraq Gojjam,0,1.043582175,0.184615286,29.25449244,0.666144145,1.421020206,1,1,fababean,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,1,1.557423254,0.183869249,28.81365353,1.181262748,1.933583761,2,1,fababean,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,2.5,1.796634211,0.183089857,28.36496404,1.421808921,2.171459502,23,1,fababean,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,7,1.87769859,0.183089857,28.36496404,1.5028733,2.252523881,3,1,fababean,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,0,2.426345698,0.090712382,52.65388875,2.244371777,2.608319619,1,1,wheat,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,1,2.663799849,0.090712382,52.65388875,2.481825928,2.84577377,2,1,wheat,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,2.5,2.752600736,0.090712382,52.65388875,2.570626815,2.934574657,2,1,wheat,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Misraq Gojjam,7,2.757179223,0.090712382,52.65388875,2.575205302,2.939153144,2,1,wheat,14.04456554,0.546762169,5.302085348,1.521634987,91.35765931,150,75,,,,,
Ngororero,0,0.800275313,0.092550175,56.73605727,0.614928098,0.985622528,1,4,bean,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,1,0.975703885,0.092550175,56.73605727,0.79035667,1.1610511,12,4,bean,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,2.5,1.188275313,0.092550175,56.73605727,1.002928098,1.373622528,3,4,bean,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,7,1.165132456,0.092550175,56.73605727,0.979785241,1.350479671,23,4,bean,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,0,2.70959939,0.230404171,34.7814463,2.241748968,3.177449812,1,5,maize,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,1,3.60522439,0.230404171,34.7814463,3.137373968,4.073074812,2,5,maize,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,2.5,4.04584939,0.230404171,34.7814463,3.577998968,4.513699812,3,5,maize,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Ngororero,7,4.40209939,0.230404171,34.7814463,3.934248968,4.869949812,3,5,maize,4.079870954,0.963297952,5.259342826,1.247588192,79.52467314,150,75,,,,,
Nyaruguru,0,1.37863707,0.133214322,52.76145341,1.111414775,1.645859365,1,3,bean,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,1,1.716732308,0.133214322,52.76145341,1.449510013,1.983954603,2,3,bean,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,2.5,2.157208498,0.133214322,52.76145341,1.889986203,2.424430794,3,3,bean,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,7,2.502446594,0.133214322,52.76145341,2.235224298,2.769668889,4,3,bean,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,0,4.337208245,0.226055213,51.96048259,3.883587063,4.790829428,1,4,maize,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,1,5.114281416,0.226055213,51.96048259,4.660660233,5.567902598,2,4,maize,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,2.5,6.044037513,0.226055213,51.96048259,5.590416331,6.497658696,3,4,maize,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
Nyaruguru,7,6.89769605,0.226055213,51.96048259,6.444074867,7.351317233,4,4,maize,5.847304015,1.066337265,5.137327382,1.667877454,81.3186762,150,75,,,,,
