country,commodity,year,mean_price_tone,mean_price_tone_farmget
ETH,Beans,2022,1851.852,1296.2964
ETH,Beans,2023,1679.927108108108,1175.9489756756757
ETH,Beans,2024,1562.498896551724,1093.7492275862069
ETH,Beans (fava),2022,1257.225652173913,880.057956521739
ETH,Beans (fava),2023,1017.0209294871795,711.9146506410256
ETH,Beans (fava),2024,1124.7907857142857,787.3535499999999
ETH,Maize (white),2022,725.0420555555555,507.5294388888888
ETH,Maize (white),2023,713.4772791411043,499.43409539877297
ETH,Maize (white),2024,803.3216960784314,562.325187254902
ETH,Wheat (white),2022,765.0731923076924,535.5512346153846
ETH,Wheat (white),2023,950.6484146341463,665.4538902439024
ETH,Wheat (white),2024,1107.5843125,775.3090187499998
RWA,Beans (dry),2022,799.6375,559.74625
RWA,Beans (dry),2023,955.5528662420381,668.8870063694267
RWA,Beans (dry),2024,518.2211382113821,362.7547967479675
RWA,Maize,2022,693.55,485.48499999999996
RWA,Maize,2023,493.9921428571429,345.79449999999997
RWA,Maize,2024,279.03245614035086,195.3227192982456
TZA,Beans,2022,1274.5344615384615,892.174123076923
TZA,Beans,2023,1144.879208,801.4154456
TZA,Beans,2024,1015.2640784313726,710.6848549019608
TZA,Beans (dry),2022,1228.123076923077,859.6861538461538
TZA,Maize,2022,450.15085714285715,315.1056
TZA,Maize,2023,449.62712857142856,314.73898999999994
TZA,Maize,2024,269.9480909090909,188.96366363636363
TZA,Maize (white),2022,516.1346153846154,361.29423076923075
