lime_tha,emmean,SE,df,lower.CL,upper.CL,admin2_gadm,crop
0,0.1999435461743373,0.14509358681202114,8.293973425651805,-0.13258981630525835,0.5324769086539329,Jimma,Maize
0.5,0.572145693218012,0.1414821510771823,7.331960196114716,0.24063980757572678,0.9036515788602972,Jimma,Maize
1,0.9059832629115674,0.1405672528258566,7.1011963879056115,0.5745523446239938,1.2374141811991408,Jimma,Maize
1.5,1.2014562552550043,0.14138839021903132,7.308074405321633,0.86996180399382,1.5329507065161887,Jimma,Maize
2,1.4585646702483224,0.14308470158731626,7.7486656598149235,1.1267385570357393,1.7903907834609054,Jimma,Maize
2.5,1.6773085078915224,0.14497265083901423,8.260412011356046,1.3448266017686563,2.0097904140143883,Jimma,Maize
3,1.8576877681846022,0.14656477850704314,8.70989332042045,1.5244441591911637,2.1909313771780408,Jimma,Maize
3.5,1.9997024511275645,0.14755867642351864,8.998964720488207,1.6658956804197311,2.333509221835398,Jimma,Maize
4,2.103352556720408,0.1478197707043855,9.075997493169211,1.7693873388797763,2.43731777456104,Jimma,Maize
4.5,2.1686380849631326,0.14737035162115458,8.94368541524543,1.8349429334930012,2.502333236433264,Jimma,Maize
5,2.1955590358557378,0.1463891541390529,8.659495463053997,1.8624081487202506,2.528709922991225,Jimma,Maize
5.5,2.1841154093982253,0.14522046119192422,8.329284820010464,1.8515268988811304,2.5167039199153205,Jimma,Maize
6,2.134307205590592,0.14438633089841074,8.099040231209678,1.8020591150648468,2.466555296116337,Jimma,Maize
6.5,2.0461344244328425,0.14458791680299846,8.15427227474801,1.7138089055250494,2.3784599433406357,Jimma,Maize
7,1.9195970659249737,0.14667353101790656,8.741203632484066,1.586294998497623,2.2528991333523245,Jimma,Maize
0,0.10765612998865334,0.0999425960897796,8.610174251711193,-0.11999972884037191,0.3353119888176786,Burera,Maize
0.5,0.4798582770323281,0.09462331981395497,6.890312228737132,0.2553855935687231,0.7043309604959331,Burera,Maize
1,0.8136958467258835,0.093249805073232,6.490864861161215,0.5896399975637207,1.0377516958880464,Burera,Maize
1.5,1.1091688390693204,0.09448306974223787,6.848714400087647,0.8847475234507606,1.3335901546878801,Burera,Maize
2,1.3662772540626384,0.09700312060711698,7.624955403253736,1.140657973565415,1.591896534559862,Burera,Maize
2.5,1.5850210917058385,0.09976694377637477,8.548805534871665,1.3575037258357363,1.8125384575759407,Burera,Maize
3,1.7654003519989183,0.10206668348685695,9.378187811095147,1.5359210333438256,1.994879670654011,Burera,Maize
3.5,1.9074150349418806,0.1034888233919407,9.919751686860616,1.6765744650368701,2.1382556048468913,Burera,Maize
4,2.0110651405347246,0.10386076347824875,10.065094275010221,1.7798516458227933,2.242278635246656,Burera,Maize
4.5,2.076350668777449,0.1032201245694383,9.81571463284861,1.845775264259708,2.30692607329519,Burera,Maize
5,2.1032716196700543,0.10181433115595742,9.284407465253535,1.874022613944153,2.3325206253959556,Burera,Maize
5.5,2.091827993212542,0.1001266993762539,8.674842668139057,1.8640248643929969,2.319631122032087,Burera,Maize
6,2.0420197894049084,0.09891302305304826,8.255039542800533,1.8151467654113476,2.268892813398469,Burera,Maize
6.5,1.9538470082471588,0.09920705249435778,8.355339132998388,1.7267576373638436,2.180936379130474,Burera,Maize
7,1.8273096497392898,0.1022227874813056,9.436547012098782,1.5976861142127714,2.056933185265808,Burera,Maize
0,0.16055775766298658,0.09930127527479347,8.110454262659331,-0.06788970289966864,0.3890052182256418,Ngororero,Maize
0.5,0.5327599047066612,0.09394569394415837,6.455462630725426,0.3067579168618991,0.7587618925514233,Ngororero,Maize
1,0.8665974744002166,0.09256212456632157,6.071791191624359,0.6407536810322441,1.0924412677681892,Ngororero,Maize
1.5,1.1620704667436537,0.09380443073731672,6.4154936874584845,0.9360949971188807,1.3880459363684265,Ngororero,Maize
2,1.4191788817369717,0.09634223458875316,7.161834239790844,1.1924051148210577,1.6459526486528857,Ngororero,Maize
2.5,1.6379227193801718,0.0991244865233297,8.051325539227783,1.4095946335421363,1.8662508052182072,Ngororero,Maize
3,1.8183019796732516,0.10143879256005413,8.850839072943943,1.588240633615783,2.04836332573072,Ngororero,Maize
3.5,1.9603166626162138,0.10286961322511007,9.37333945483639,1.7290146777257391,2.1916186475066883,Ngororero,Maize
4,2.0639667682090574,0.10324378406625839,9.513620630332174,1.832321117532854,2.295612418885261,Ngororero,Maize
4.5,2.129252296451782,0.10259929275665504,9.272939318219702,1.8981937720517508,2.3603108208518133,Ngororero,Maize
5,2.156173247344387,0.10118487429833783,8.760393841316812,1.9263192644435312,2.3860272302452428,Ngororero,Maize
5.5,2.1447296208868747,0.09948656535441448,8.172767616496802,1.9161546155667186,2.3733046262070308,Ngororero,Maize
